Problem,GradientDescent,GradientDescentW,Newton,NewtonW,TRNewtonCG,TRSR1CG,BFGS,BFGSW,DFP,DFPW
P1_quad_10_10,121,121,2,2,7,12,28,28,41,41
P2_quad_10_1000,FAIL,FAIL,2,2,12,15,57,57,FAIL,FAIL
P3_quad_1000_10,143,143,SKIP,SKIP,SKIP,30,40,40,57,57
P4_quad_1000_1000,FAIL,FAIL,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP
P5_quartic_1,3,3,3,3,4,4,4,4,4,4
P6_quartic_2,11,11,20,20,20,53,78,78,FAIL,FAIL
P7_rosenbrock_2,FAIL,FAIL,22,22,26,137,35,35,49,36
P8_rosenbrock_100,69,66,SKIP,SKIP,SKIP,FAIL,113,113,111,111
P9_datafit_2,787,690,7,7,8,21,16,16,25,25
P10_exponential_10,30,21,16,16,15,21,27,22,188,434
P11_exponential_1000,23,21,SKIP,SKIP,SKIP,23,11,7,11,7
P12_genhumps_5,209,179,123,68,101,39,58,55,FAIL,FAIL
